date,distance,duration,hr_avg,cadence_avg,max_hr,distance_run,duration_run,distance_spe,duration_spe,speed,speed_spe,allure,allure_spe,score,effort,shr,cum_7_distance,cum_7_duration,cum_7_score,cum_7_effort,cum_7_shr,mean_7_hr,mean_7_cadence
2023-10-29,7.5032001953125,0.7146771918402778,166.0,163.734375,181.0,7.4900498046875,0.7111324734157987,7.5031298828125,0.7146771918402778,10.532566131750917,10.4986278679079,5.696617448157023,5.715032550435224,28.07452525532047,130.58318361143574,0.5759049215800297,7.5032001953125,0.7146771918402778,28.07452525532047,130.58318361143574,0.5759049215800297,166.0,163.734375
2023-11-01,6.69875,0.6437936062282986,158.0,163.546875,195.0,6.689419921875,0.6426494683159722,6.69856982421875,0.6437936062282986,10.409126983959482,10.404840556685087,5.764172162801002,5.766546798398572,30.72897338436176,79.54036998980999,0.4937834455537436,14.2019501953125,1.3584707980685764,29.401749319841116,210.12355360124573,1.0696883671337734,162.0,163.640625
2023-11-17,5.93581005859375,0.6368339029947917,152.0,160.78125,173.0,5.89889013671875,0.6170511203342014,5.9357001953125,0.6368339029947917,9.559807838163959,9.320641013927057,6.276276784609879,6.437325491921317,27.438998369159272,51.54295462235225,0.4698968604621764,5.93581005859375,0.6368339029947917,27.438998369159272,51.54295462235225,0.4698968604621764,152.0,160.78125
2023-11-20,10.43426953125,0.9835380723741319,159.0,166.046875,177.0,10.4064296875,0.9693533664279513,10.4340400390625,0.9835380723741319,10.735434618489535,10.60867935074043,5.588967948876759,5.655746395597518,32.40939454179066,228.1831057346995,0.7591386092596455,16.37007958984375,1.6203719753689236,29.924196455474966,279.7260603570517,1.229035469721822,155.5,163.4140625
2023-11-23,10.0222197265625,1.0537908257378472,158.0,163.8125,171.0,9.9907998046875,1.0491405571831598,10.021990234375,1.0537908257378472,9.522842040833714,9.51041704823893,6.300640055008943,6.308871597919081,24.281962332298825,200.9966529690141,0.8082473323620382,26.39229931640625,2.6741628011067706,28.043451747749586,480.7227133260658,2.03728280208386,156.33333333333334,163.546875
2023-11-27,8.6148203125,0.7635313585069444,165.0,169.015625,184.0,8.601919921875,0.7611886257595486,8.614740234375,0.7635313585069444,11.300641694811997,11.282758904913592,5.309433005697841,5.317848276796047,33.36695151724904,176.73190316622063,0.6115663793866303,29.0713095703125,2.8008602566189236,30.019436130446177,605.9116618699342,2.178952321008314,160.66666666666666,166.29166666666666
2023-12-07,8.01089013671875,0.7164803059895833,169.0,167.875,187.0,8.01081005859375,0.7164611138237847,8.01081005859375,0.7164803059895833,11.181081434887236,11.180781930257574,5.3662072268598155,5.366350973864113,31.02181896221615,167.53576780348845,0.5877920956904834,8.01089013671875,0.7164803059895833,31.02181896221615,167.53576780348845,0.5877920956904834,169.0,167.875
2023-12-09,9.4232998046875,0.9663888888888889,156.62575452716297,162.682092555332,169.0,9.3424599609375,0.9472222222222222,9.417009765625,0.9658333333333333,9.86300758339443,9.750139533002589,6.083337105105474,6.153758086939172,27.52926718394937,166.76916208649126,0.7347640237324703,17.43418994140625,1.6828691948784722,29.27554307308276,334.3049298899797,1.3225561194229538,162.81287726358147,165.278546277666
2023-12-11,5.09352001953125,0.45874972873263886,159.0,163.90625,184.0,4.98581005859375,0.43374416775173613,1.705239990234375,0.10045166863335503,11.49481751982311,16.97572587328977,5.219743584143763,3.5344585820866854,36.87463724679516,43.36349162323965,0.3540835284878135,22.5277099609375,2.141618923611111,31.808574464320227,377.66842151321936,1.6766396479107673,161.54191817572098,164.82111418511067
2023-12-14,4.9902099609375,0.47905029296875,157.0,166.921875,167.0,4.9837001953125,0.47738277859157985,4.990169921875,0.47905029296875,10.439631295489727,10.41679755783079,5.747329412478583,5.759927623331339,31.36852454821375,39.46247224939563,0.3651014368742415,27.517919921875,2.620669216579861,31.69856198529361,417.13089376261496,2.041741084785009,160.40643863179073,165.346304388833
2023-12-19,9.260490234375,0.8115913899739583,163.0,167.046875,180.0,9.2462802734375,0.8115574815538195,9.2604404296875,0.8115913899739583,11.393253692559696,11.410225076420096,5.266274377720799,5.258441406558539,34.70969757447261,197.05279463386688,0.642181536726967,14.2507001953125,1.2906416829427083,33.03911106134318,236.5152668832625,1.0072829736012086,160.0,166.984375
2023-12-22,8.00643017578125,0.8226807996961806,145.0,164.75,156.0,7.99943994140625,0.8207308620876737,8.0062998046875,0.8226807996961806,9.74672735110541,9.731963852376596,6.155912424614525,6.165251013067387,32.1080897502174,80.86251320339554,0.5790714366793503,17.26692041015625,1.6342721896701389,33.40889366234501,277.9153078372624,1.2212529734063173,154.0,165.8984375
2023-12-24,11.7013203125,1.0344746907552083,169.0,166.234375,197.0,11.701080078125,1.0333577473958333,11.701080078125,1.0344746907552083,11.323358350593406,11.311132290324801,5.298781345805918,5.304508731749356,31.8885232159558,425.6986966664144,0.8486709841632535,28.96824072265625,2.6687468804253474,32.9021035135486,703.6140045036768,2.069923957569571,159.0,166.01041666666666
2023-12-26,3.10614990234375,0.2944091796875,149.0,156.609375,183.0,3.082919921875,0.2874327935112847,0.955739990234375,0.04861111111111111,10.725706987758734,19.660936941964287,5.594036837709448,3.0517365564575947,36.60293043585276,11.69700951106927,0.2129464455021238,32.074390625,2.9631560601128473,33.82731024412465,715.3110140147461,2.2828704030716946,156.5,163.66015625
